exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E2_N2_MD_M125,2,5,3,1.0,1e-08,25000,MD,1,1,11.0,0.27872180938720703,0.025338346307927914,11.0,0.3210463523864746
E2_N2_MD_M125,2,5,3,1.0,1e-08,25000,MD,2,1,13.0,0.21233749389648438,0.016333653376652643,13.0,0.26607418060302734
E2_N2_MD_M125,2,5,3,1.0,1e-08,25000,MD,5,1,31.0,0.483079195022583,0.015583199839438162,31.0,0.4891219139099121
E2_N2_MD_M125,2,6,3,1.0,1e-08,25000,MD,1,1,37.0,0.11707329750061035,0.0031641431756921717,37.0,0.11917757987976074
E2_N2_MD_M125,2,6,3,1.0,1e-08,25000,MD,2,1,37.0,0.12020301818847656,0.0032487302213101772,37.0,0.12221598625183105
E2_N2_MD_M125,2,6,3,1.0,1e-08,25000,MD,5,1,41.0,0.12457275390625,0.0030383598513719513,41.0,0.12656807899475098
E2_N2_MD_M125,2,7,3,1.0,1e-08,25000,MD,1,1,17.0,0.25701189041137695,0.01511834649478688,17.0,0.28117847442626953
E2_N2_MD_M125,2,7,3,1.0,1e-08,25000,MD,2,1,17.0,0.2829277515411377,0.01664280891418457,17.0,0.29653024673461914
E2_N2_MD_M125,2,7,3,1.0,1e-08,25000,MD,5,1,31.0,0.4198794364929199,0.013544497951384514,31.0,0.43242645263671875
E2_N2_MD_M125,2,8,3,1.0,1e-08,25000,MD,1,1,11.0,0.5339171886444092,0.04853792624040083,11.0,0.5731155872344971
E2_N2_MD_M125,2,8,3,1.0,1e-08,25000,MD,2,1,13.0,0.5241317749023438,0.04031782883864183,13.0,0.5837583541870117
E2_N2_MD_M125,2,8,3,1.0,1e-08,25000,MD,5,1,31.0,1.5747923851013184,0.05079975435810705,31.0,1.6211934089660645
E2_N2_MD_M125,2,9,3,1.0,1e-08,25000,MD,1,1,31.0,6.210482597351074,0.20033814830164756,31.0,6.397090435028076
E2_N2_MD_M125,2,9,3,1.0,1e-08,25000,MD,2,1,33.0,6.631954908370972,0.2009683305566961,33.0,6.828872919082642
E2_N2_MD_M125,2,9,3,1.0,1e-08,25000,MD,5,1,41.0,7.828479290008545,0.19093851926850108,41.0,8.002043008804321
E2_N2_MD_M125,2,10,3,1.0,1e-08,25000,MD,1,1,59.0,22.738221645355225,0.3853935872094106,59.0,23.19658064842224
E2_N2_MD_M125,2,10,3,1.0,1e-08,25000,MD,2,1,61.0,28.80722975730896,0.4722496681526059,61.0,29.165316581726074
E2_N2_MD_M125,2,10,3,1.0,1e-08,25000,MD,5,1,61.0,23.665412664413452,0.3879575846625156,61.0,24.057714223861694
E2_N2_MD_M125,2,11,3,1.0,1e-08,25000,MD,1,1,59.0,57.8612699508667,0.9806994906926559,59.0,58.653209924697876
E2_N2_MD_M125,2,11,3,1.0,1e-08,25000,MD,2,1,61.0,60.53920006752014,0.9924459027462318,61.0,61.6221764087677
E2_N2_MD_M125,2,11,3,1.0,1e-08,25000,MD,5,1,61.0,47.65650415420532,0.7812541664623823,61.0,48.43659257888794
E2_N2_MD_M125,2,12,3,1.0,1e-08,25000,MD,1,1,19.0,18.669174671173096,0.9825881405880577,19.0,20.096710205078125
E2_N2_MD_M125,2,12,3,1.0,1e-08,25000,MD,2,1,17.0,18.284005165100098,1.0755297155941235,17.0,19.252971410751343
E2_N2_MD_M125,2,12,3,1.0,1e-08,25000,MD,5,1,31.0,34.00188875198364,1.0968351210317304,31.0,35.194474935531616
E2_N2_MD_M125,2,2,4,1.0,1e-08,25000,MD,1,1,9.0,0.014142036437988281,0.001571337381998698,9.0,0.014142036437988281
E2_N2_MD_M125,2,2,4,1.0,1e-08,25000,MD,2,1,13.0,0.016003131866455078,0.0012310101435734676,13.0,0.017002582550048828
E2_N2_MD_M125,2,2,4,1.0,1e-08,25000,MD,5,1,31.0,0.03769826889038086,0.0012160731900122859,31.0,0.03769826889038086
E2_N2_MD_M125,2,3,4,1.0,1e-08,25000,MD,1,1,9.0,0.01873469352722168,0.002081632614135742,9.0,0.019767284393310547
E2_N2_MD_M125,2,3,4,1.0,1e-08,25000,MD,2,1,17.0,0.0274503231048584,0.0016147248885210823,17.0,0.029964923858642578
E2_N2_MD_M125,2,3,4,1.0,1e-08,25000,MD,5,1,41.0,0.056275129318237305,0.001372564129713105,41.0,0.056275129318237305
E2_N2_MD_M125,2,4,4,1.0,1e-08,25000,MD,1,1,11.0,0.0268247127532959,0.0024386102502996273,11.0,0.027825355529785156
E2_N2_MD_M125,2,4,4,1.0,1e-08,25000,MD,2,1,17.0,0.031032800674438477,0.0018254588632022634,17.0,0.032030344009399414
E2_N2_MD_M125,2,4,4,1.0,1e-08,25000,MD,5,1,41.0,0.0666801929473877,0.0016263461694484803,41.0,0.06762170791625977
E2_N2_MD_M125,2,5,4,1.0,1e-08,25000,MD,1,1,9.0,0.11721444129943848,0.01302382681104872,9.0,0.1320056915283203
E2_N2_MD_M125,2,5,4,1.0,1e-08,25000,MD,2,1,13.0,0.2616121768951416,0.020124013607318584,13.0,0.2812070846557617
E2_N2_MD_M125,2,5,4,1.0,1e-08,25000,MD,5,1,31.0,0.705676794052124,0.022763767550068516,31.0,0.7354292869567871
E2_N2_MD_M125,2,6,4,1.0,1e-08,25000,MD,1,1,17.0,0.059777259826660156,0.0035163094015682444,17.0,0.06241154670715332
E2_N2_MD_M125,2,6,4,1.0,1e-08,25000,MD,2,1,17.0,0.060120344161987305,0.0035364908330580767,17.0,0.06313824653625488
E2_N2_MD_M125,2,6,4,1.0,1e-08,25000,MD,5,1,31.0,0.10027885437011719,0.003234801753874748,31.0,0.10227847099304199
E2_N2_MD_M125,2,7,4,1.0,1e-08,25000,MD,1,1,37.0,0.7219758033752441,0.019512859550682275,37.0,0.7399382591247559
E2_N2_MD_M125,2,7,4,1.0,1e-08,25000,MD,2,1,37.0,0.8121910095214844,0.021951108365445525,37.0,0.829437255859375
E2_N2_MD_M125,2,7,4,1.0,1e-08,25000,MD,5,1,41.0,0.9740900993347168,0.0237582951057248,41.0,1.0021758079528809
E2_N2_MD_M125,2,8,4,1.0,1e-08,25000,MD,1,1,11.0,0.47661781311035156,0.04332889210094105,11.0,0.529120683670044
E2_N2_MD_M125,2,8,4,1.0,1e-08,25000,MD,2,1,13.0,0.6100895404815674,0.04692996465242826,13.0,0.6457767486572266
E2_N2_MD_M125,2,8,4,1.0,1e-08,25000,MD,5,1,31.0,1.5217313766479492,0.04908810892412739,31.0,1.5699238777160645
E2_N2_MD_M125,2,9,4,1.0,1e-08,25000,MD,1,1,99.0,19.615389108657837,0.19813524352179634,99.0,19.806233644485474
E2_N2_MD_M125,2,9,4,1.0,1e-08,25000,MD,2,1,101.0,18.598138093948364,0.18413998112820162,101.0,18.77539038658142
E2_N2_MD_M125,2,9,4,1.0,1e-08,25000,MD,5,1,101.0,18.232519388198853,0.1805199939425629,101.0,18.44859743118286
E2_N2_MD_M125,2,10,4,1.0,1e-08,25000,MD,1,1,29.0,10.781004428863525,0.3717587734090871,29.0,11.16606068611145
E2_N2_MD_M125,2,10,4,1.0,1e-08,25000,MD,2,1,29.0,10.044795751571655,0.3463722672955743,29.0,10.36965823173523
E2_N2_MD_M125,2,10,4,1.0,1e-08,25000,MD,5,1,31.0,11.271857261657715,0.3636082987631521,31.0,11.73120665550232
E2_N2_MD_M125,2,11,4,1.0,1e-08,25000,MD,1,1,15.0,9.986653327941895,0.6657768885294596,15.0,10.564631938934326
E2_N2_MD_M125,2,11,4,1.0,1e-08,25000,MD,2,1,13.0,8.4208824634552,0.6477601894965539,13.0,9.098816394805908
E2_N2_MD_M125,2,11,4,1.0,1e-08,25000,MD,5,1,31.0,20.66763997077942,0.6666980635735297,31.0,21.25944209098816
E2_N2_MD_M125,2,12,4,1.0,1e-08,25000,MD,1,1,57.0,59.16318917274475,1.037950687241136,57.0,60.262885093688965
E2_N2_MD_M125,2,12,4,1.0,1e-08,25000,MD,2,1,57.0,58.54107093811035,1.02703633224755,57.0,59.78189945220947
E2_N2_MD_M125,2,12,4,1.0,1e-08,25000,MD,5,1,61.0,60.12818360328674,0.9857079279227335,61.0,61.16768169403076
